Multiprocess type:  no
         4667601 function calls (4482113 primitive calls) in 3655.651 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       45    0.001    0.000    0.001    0.000 mark_label.py:45(<listcomp>)
        1    0.000    0.000    0.001    0.001 _internal.py:1(<module>)
     2136    0.001    0.000    0.001    0.000 {method 'write' of '_io.BufferedWriter' objects}
      347    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        6    0.000    0.000    0.001    0.000 enum.py:483(_convert_)
        1    0.000    0.000    0.001    0.001 numerictypes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:1(<module>)
       45    0.000    0.000    0.001    0.000 fromnumeric.py:1892(nonzero)
        2    0.000    0.000    0.001    0.001 polynomial.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 hashlib.py:5(<module>)
      124    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
     1891    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
       14    0.000    0.000    0.001    0.000 hashlib.py:123(__get_openssl_constructor)
       45    0.000    0.000    0.001    0.000 fromnumeric.py:51(_wrapfunc)
       14    0.000    0.000    0.001    0.000 core.py:115(doc_note)
     2729    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      306    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        1    0.000    0.000    0.001    0.001 process.py:10(<module>)
        1    0.000    0.000    0.001    0.001 mark_label.py:118(parse_args)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
      114    0.000    0.000    0.001    0.000 enum.py:313(__call__)
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
    10748    0.001    0.000    0.001    0.000 {built-in method builtins.id}
        2    0.000    0.000    0.001    0.000 function_base.py:1(<module>)
     2727    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 win32.py:4(<module>)
      614    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      176    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
   502/92    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
      134    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
        1    0.001    0.001    0.001    0.001 {built-in method _hashlib.openssl_md5}
       45    0.001    0.000    0.001    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       19    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
     5377    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     2512    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
        6    0.000    0.000    0.001    0.000 enum.py:430(_create_)
      552    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
       28    0.000    0.000    0.001    0.000 inspect.py:625(cleandoc)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
